Time,lag,SD
-60,0.005127591840173,
-50,0.084653428149536,0.761411585986571
-40,0.527107650814158,1.02064195971728
-30,0.714488382389231,2.45844426197517
-20,1.71545665093931,1.91896864837541
-10,0.87147109414237,1.82705493336098
0,1.02468441104086,1.67831237326583
10,1.86711350749975,2.0452280278866
20,1.27907584671685,1.35652382277554
30,0.956576923435353,1.96266664139632
40,-0.970503660466646,
50,1.3566128807781,1.76890502653502
60,1.19721978484368,
70,0.620440128259243,0.323291431260786
