x,Curve1
0.467551,0.00817099
1.02215,0.00520064
1.48984,0.0161494
1.98631,0.0187548
2.51199,0.02135
3.00874,0.0295109
3.47656,0.0432373
4.00291,0.0597212
4.52993,0.0900938
5.02776,0.120476
5.52654,0.170303
5.99706,0.239584
6.55666,0.33939
7.03016,0.469781
7.50379,0.60295
8.06096,0.652757
8.53135,0.71926
8.99998,0.749653
