x,Curve1
0.00105636,0.108806
0.496491,0.13861
1.02135,0.199427
1.51694,0.244775
1.9834,0.290198
2.50841,0.366559
2.97487,0.411982
3.44224,0.550668
3.99713,0.704671
4.5235,0.920924
5.05108,1.26153
5.52086,1.64891
5.99019,1.98966
6.5235,2.92092
7.01984,3.04399
7.54893,3.54003
8.00257,2.26424
8.47808,0.242285
9.03433,0.53618
